RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2022-09-23;PETRJ424;BRPETR4J0WF6;EQUITY CALL;0,93;1,36;1,02;1,01;;;1;2295;5291500
2022-09-23;PETRJ425;BRPETR3J0642;EQUITY CALL;0,95;1,27;0,98;0,98;;;0,97;48;55800
2022-09-23;PETRJ427;BRPETR4J0XW9;EQUITY CALL;0,02;0,04;0,02;0,03;;;0,03;94;1245100
2022-09-23;PETRJ428;BRPETR3J07E7;EQUITY CALL;0,08;0,1;0,09;0,1;;;0,13;22;22600
2022-09-23;PETRJ430;BRPETR4J0VF8;EQUITY CALL;1,9;2,7;2,06;2;;;2;478;550000
2022-09-23;PETRJ432;BRPETR4J0Y66;EQUITY CALL;0,01;0,03;0,02;0,03;;;0,03;25;450100
2022-09-23;PETRJ433;BRPETR3J0782;EQUITY CALL;;;;;;;0,12;;
2022-09-23;PETRJ437;BRPETR4J0Y58;EQUITY CALL;0,01;0,03;0,01;0,02;;;0,02;19;568700
2022-09-23;PETRJ440;BRPETR4J0VU7;EQUITY CALL;1,45;2,1;1,61;1,5;;;1,53;1229;2804400
2022-09-23;PETRJ442;BRPETR4J0Y25;EQUITY CALL;0,01;0,02;0,01;0,02;;;0,02;14;126700
2022-09-23;PETRJ443;BRPETR3J0774;EQUITY CALL;;;;;;;0,09;;
2022-09-23;PETRJ447;BRPETR4J0Y41;EQUITY CALL;0,01;0,01;0,01;0,01;;;0,02;19;452400
2022-09-23;PETRJ450;BRPETR4J0W43;EQUITY CALL;1,08;1,6;1,19;1,19;;;1,15;4277;9844700
2022-09-23;PETRJ451;BRPETR4J0YE5;EQUITY CALL;0,01;0,01;0,01;0,01;;;0,01;9;75200
2022-09-23;PETRJ452;BRPETR4J0Y17;EQUITY CALL;0,01;0,02;0,01;0,01;;;0,01;46;889500
2022-09-23;PETRJ453;BRPETR3J0733;EQUITY CALL;;;;;;;0,07;;
2022-09-23;PETRJ460;BRPETR4J0VB7;EQUITY CALL;0,8;1,35;0,93;0,88;;;0,86;1576;5465200
